127.0.0.1 - - [12/Jan/2020:20:27:48 +0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/HydropowerQueryMaintenance.jsp HTTP/1.1" 200 9056
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:02 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:03 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/combo_arrow.png HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:03 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:03 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:10 +0800] "POST /Hydropower_query_system/allWaterElectric.action HTTP/1.1" 200 73892
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:11 +0800] "GET /Hydropower_query_system/HydropowerQueryMaintenance.jsp HTTP/1.1" 200 9056
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/HydropowerQueryMaintenance.jsp HTTP/1.1" 200 9056
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:40 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/combo_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:41 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2020:20:29:41 +0800] "GET /Hydropower_query_system/js/jquery-easyui-1.8.2/themes/gray/images/loading.gif HTTP/1.1" 304 -
