127.0.0.1 - - [07/Jun/2019:14:39:59 +0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /tomcat.css HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [07/Jun/2019:14:40:04 +0800] "GET /bg-button.png HTTP/1.1" 200 713
